Level,Base_RMSE,MinTrace_RMSE,Improvement_%
Total,95029569.56067242,96460957.04969425,-1.506254837982778
Business Unit,44996718.62058551,42987789.182418026,4.464613197924213
Segment,20147436.110665943,18105027.26835891,10.137313904799008
Subsegment,5499473.164913732,5681399.719403661,-3.308072410473941
