unique_id,ds,yhat,level
SUBSEG__SSI0278214,45,584959.6875,Subsegment
SUBSEG__SSI0278214,46,581705.25,Subsegment
SUBSEG__SSI0278214,47,360506.59375,Subsegment
SUBSEG__SSI0278214,48,578831.3125,Subsegment
SUBSEG__SSI0278216,43,758.522705078125,Subsegment
SUBSEG__SSI0278216,44,336.3684387207031,Subsegment
SUBSEG__SSI0278216,45,336.3684387207031,Subsegment
SUBSEG__SSI0278216,46,758.522705078125,Subsegment
SUBSEG__SSI0278216,47,758.522705078125,Subsegment
SUBSEG__SSI0278216,48,758.522705078125,Subsegment
SUBSEG__SSI0278291,43,431916.0625,Subsegment
SUBSEG__SSI0278291,44,431916.0625,Subsegment
SUBSEG__SSI0278291,45,431916.0625,Subsegment
SUBSEG__SSI0278291,46,431916.0625,Subsegment
SUBSEG__SSI0278291,47,431916.0625,Subsegment
SUBSEG__SSI0278291,48,431916.0625,Subsegment
SUBSEG__SSI02784,43,16131.6259765625,Subsegment
SUBSEG__SSI02784,44,16131.6259765625,Subsegment
SUBSEG__SSI02784,45,16131.6259765625,Subsegment
SUBSEG__SSI02784,46,16131.6259765625,Subsegment
SUBSEG__SSI02784,47,16131.6259765625,Subsegment
SUBSEG__SSI02784,48,16131.6259765625,Subsegment
SUBSEG__SSI0278402,43,22712994.0,Subsegment
SUBSEG__SSI0278402,44,23020698.0,Subsegment
SUBSEG__SSI0278402,45,26351218.0,Subsegment
SUBSEG__SSI0278402,46,22787996.0,Subsegment
SUBSEG__SSI0278402,47,23136302.0,Subsegment
SUBSEG__SSI0278402,48,24395122.0,Subsegment
SUBSEG__SSI0278404,43,25767436.0,Subsegment
SUBSEG__SSI0278404,44,26407756.0,Subsegment
SUBSEG__SSI0278404,45,27995132.0,Subsegment
SUBSEG__SSI0278404,46,25443222.0,Subsegment
SUBSEG__SSI0278404,47,25443596.0,Subsegment
SUBSEG__SSI0278404,48,27954698.0,Subsegment
SUBSEG__SSI0278406,43,12072969.0,Subsegment
SUBSEG__SSI0278406,44,12130701.0,Subsegment
SUBSEG__SSI0278406,45,12522271.0,Subsegment
SUBSEG__SSI0278406,46,12522271.0,Subsegment
SUBSEG__SSI0278406,47,12139142.0,Subsegment
SUBSEG__SSI0278406,48,12522271.0,Subsegment
SUBSEG__SSI0278408,43,68286424.0,Subsegment
SUBSEG__SSI0278408,44,68102160.0,Subsegment
SUBSEG__SSI0278408,45,70446520.0,Subsegment
SUBSEG__SSI0278408,46,68807280.0,Subsegment
SUBSEG__SSI0278408,47,68803968.0,Subsegment
SUBSEG__SSI0278408,48,68718240.0,Subsegment
SUBSEG__SSI0278410,43,14737262.0,Subsegment
SUBSEG__SSI0278410,44,13906822.0,Subsegment
SUBSEG__SSI0278410,45,13294552.0,Subsegment
SUBSEG__SSI0278410,46,13519687.0,Subsegment
SUBSEG__SSI0278410,47,15081928.0,Subsegment
SUBSEG__SSI0278410,48,14893661.0,Subsegment
SUBSEG__SSI0278412,43,1003350.25,Subsegment
SUBSEG__SSI0278412,44,1096312.0,Subsegment
SUBSEG__SSI0278412,45,1119803.875,Subsegment
SUBSEG__SSI0278412,46,1125552.25,Subsegment
SUBSEG__SSI0278412,47,1125552.25,Subsegment
SUBSEG__SSI0278412,48,1119803.875,Subsegment
SUBSEG__SSI0278414,43,258262.265625,Subsegment
SUBSEG__SSI0278414,44,260070.15625,Subsegment
SUBSEG__SSI0278414,45,271052.625,Subsegment
SUBSEG__SSI0278414,46,258262.265625,Subsegment
SUBSEG__SSI0278414,47,258262.265625,Subsegment
SUBSEG__SSI0278414,48,258262.265625,Subsegment
SUBSEG__SSI0278416,43,1767700.5,Subsegment
SUBSEG__SSI0278416,44,2325937.75,Subsegment
SUBSEG__SSI0278416,45,2320327.0,Subsegment
SUBSEG__SSI0278416,46,2320327.0,Subsegment
SUBSEG__SSI0278416,47,2320327.0,Subsegment
SUBSEG__SSI0278416,48,2320327.0,Subsegment
SUBSEG__SSI0278418,43,56548.71875,Subsegment
SUBSEG__SSI0278418,44,77778.765625,Subsegment
SUBSEG__SSI0278418,45,77778.765625,Subsegment
SUBSEG__SSI0278418,46,77778.765625,Subsegment
SUBSEG__SSI0278418,47,77778.765625,Subsegment
SUBSEG__SSI0278418,48,77778.765625,Subsegment
SUBSEG__SSI0278420,43,76938136.0,Subsegment
SUBSEG__SSI0278420,44,77607072.0,Subsegment
SUBSEG__SSI0278420,45,82107576.0,Subsegment
SUBSEG__SSI0278420,46,77550448.0,Subsegment
SUBSEG__SSI0278420,47,78267488.0,Subsegment
SUBSEG__SSI0278420,48,81945216.0,Subsegment
SUBSEG__SSI0278422,43,31154690.0,Subsegment
SUBSEG__SSI0278422,44,32778448.0,Subsegment
SUBSEG__SSI0278422,45,34830428.0,Subsegment
SUBSEG__SSI0278422,46,29785828.0,Subsegment
SUBSEG__SSI0278422,47,32342198.0,Subsegment
SUBSEG__SSI0278422,48,34830428.0,Subsegment
SUBSEG__SSI0278424,43,11241147.0,Subsegment
SUBSEG__SSI0278424,44,11241147.0,Subsegment
SUBSEG__SSI0278424,45,11241147.0,Subsegment
SUBSEG__SSI0278424,46,11241147.0,Subsegment
SUBSEG__SSI0278424,47,11241147.0,Subsegment
SUBSEG__SSI0278424,48,11241147.0,Subsegment
SUBSEG__SSI0278426,43,24632276.0,Subsegment
SUBSEG__SSI0278426,44,24687454.0,Subsegment
SUBSEG__SSI0278426,45,24722692.0,Subsegment
SUBSEG__SSI0278426,46,24727966.0,Subsegment
SUBSEG__SSI0278426,47,24705760.0,Subsegment
SUBSEG__SSI0278426,48,24722692.0,Subsegment
SUBSEG__SSI0278428,43,79206832.0,Subsegment
SUBSEG__SSI0278428,44,87064944.0,Subsegment
SUBSEG__SSI0278428,45,95110384.0,Subsegment
SUBSEG__SSI0278428,46,82020040.0,Subsegment
SUBSEG__SSI0278428,47,93558032.0,Subsegment
SUBSEG__SSI0278428,48,95065704.0,Subsegment
SUBSEG__SSI0278430,43,18899358.0,Subsegment
SUBSEG__SSI0278430,44,20514042.0,Subsegment
SUBSEG__SSI0278430,45,20974904.0,Subsegment
SUBSEG__SSI0278430,46,20539692.0,Subsegment
SUBSEG__SSI0278430,47,20790620.0,Subsegment
SUBSEG__SSI0278430,48,20315928.0,Subsegment
SUBSEG__SSI0278432,43,2682251.75,Subsegment
SUBSEG__SSI0278432,44,2738168.75,Subsegment
SUBSEG__SSI0278432,45,2689731.25,Subsegment
SUBSEG__SSI0278432,46,2706320.5,Subsegment
SUBSEG__SSI0278432,47,2702388.5,Subsegment
SUBSEG__SSI0278432,48,2702388.5,Subsegment
SUBSEG__SSI0278434,43,662025.5,Subsegment
SUBSEG__SSI0278434,44,666281.0625,Subsegment
SUBSEG__SSI0278434,45,586686.9375,Subsegment
SUBSEG__SSI0278434,46,635691.125,Subsegment
SUBSEG__SSI0278434,47,625980.25,Subsegment
SUBSEG__SSI0278434,48,663524.9375,Subsegment
SUBSEG__SSI0278436,43,1499951.75,Subsegment
SUBSEG__SSI0278436,44,1499951.75,Subsegment
SUBSEG__SSI0278436,45,1499951.75,Subsegment
SUBSEG__SSI0278436,46,1499951.75,Subsegment
SUBSEG__SSI0278436,47,1499951.75,Subsegment
SUBSEG__SSI0278436,48,1499951.75,Subsegment
SUBSEG__SSI0278438,43,97.0185317993164,Subsegment
SUBSEG__SSI0278438,44,97.0185317993164,Subsegment
SUBSEG__SSI0278438,45,97.0185317993164,Subsegment
SUBSEG__SSI0278438,46,97.0185317993164,Subsegment
SUBSEG__SSI0278438,47,97.0185317993164,Subsegment
SUBSEG__SSI0278438,48,97.0185317993164,Subsegment
SUBSEG__SSI0278440,43,18403876.0,Subsegment
SUBSEG__SSI0278440,44,17990860.0,Subsegment
SUBSEG__SSI0278440,45,20536294.0,Subsegment
SUBSEG__SSI0278440,46,18333482.0,Subsegment
SUBSEG__SSI0278440,47,18317884.0,Subsegment
SUBSEG__SSI0278440,48,20193302.0,Subsegment
SUBSEG__SSI0278442,43,11342627.0,Subsegment
SUBSEG__SSI0278442,44,11406716.0,Subsegment
SUBSEG__SSI0278442,45,11406716.0,Subsegment
SUBSEG__SSI0278442,46,11406716.0,Subsegment
SUBSEG__SSI0278442,47,11406716.0,Subsegment
SUBSEG__SSI0278442,48,11406716.0,Subsegment
SUBSEG__SSI0278444,43,1728112.25,Subsegment
SUBSEG__SSI0278444,44,1773353.0,Subsegment
SUBSEG__SSI0278444,45,1754661.875,Subsegment
SUBSEG__SSI0278444,46,1778689.25,Subsegment
SUBSEG__SSI0278444,47,1778704.625,Subsegment
SUBSEG__SSI0278444,48,1759163.75,Subsegment
SUBSEG__SSI0278446,43,23490724.0,Subsegment
SUBSEG__SSI0278446,44,27948334.0,Subsegment
SUBSEG__SSI0278446,45,29960906.0,Subsegment
SUBSEG__SSI0278446,46,25047448.0,Subsegment
SUBSEG__SSI0278446,47,32374814.0,Subsegment
SUBSEG__SSI0278446,48,30676528.0,Subsegment
