iter	Passed	Remaining
401	18015	26799
402	18054	26745
403	18093	26692
404	18135	26644
405	18182	26602
406	18228	26559
407	18270	26510
408	18318	26470
409	18364	26427
410	18413	26388
411	18457	26342
412	18501	26296
413	18544	26248
414	18586	26199
415	18636	26163
416	18687	26126
417	18733	26084
418	18778	26039
419	18828	26001
420	18875	25959
421	18918	25911
422	18966	25871
423	19015	25831
424	19061	25788
425	19099	25734
426	19138	25681
427	19172	25622
428	19205	25563
429	19238	25502
430	19274	25445
431	19311	25391
432	19345	25332
433	19401	25302
434	19464	25281
435	19515	25244
436	19552	25189
437	19596	25143
438	19635	25091
439	19672	25037
440	19710	24984
441	19750	24933
442	19794	24888
443	19844	24850
444	19885	24800
445	19924	24749
446	19961	24695
447	20003	24647
448	20043	24596
449	20090	24555
450	20133	24508
451	20171	24455
452	20208	24401
453	20248	24351
454	20287	24300
455	20324	24246
456	20360	24192
457	20396	24137
458	20430	24080
459	20467	24026
460	20501	23970
461	20535	23914
462	20571	23858
463	20607	23805
464	20643	23750
465	20680	23697
466	20714	23641
467	20747	23585
468	20781	23528
469	20815	23473
470	20850	23417
471	20882	23359
472	20915	23303
473	20946	23244
474	20979	23188
475	21012	23131
476	21043	23072
477	21076	23016
478	21110	22961
479	21147	22909
480	21181	22854
481	21216	22800
482	21258	22755
483	21305	22714
484	21344	22664
485	21385	22618
486	21423	22567
487	21460	22515
488	21499	22466
489	21556	22436
490	21608	22401
491	21662	22366
492	21708	22325
493	21751	22280
494	21792	22232
495	21831	22183
496	21876	22140
497	21934	22110
498	21989	22077
499	22053	22053
500	22095	22007
501	22137	21961
502	22179	21914
503	22232	21879
504	22282	21841
505	22322	21792
506	22378	21760
507	22449	21742
508	22502	21706
509	22560	21675
510	22612	21638
511	22665	21603
512	22709	21558
513	22751	21512
514	22811	21482
515	22865	21447
516	22905	21399
517	22948	21353
518	22995	21312
519	23036	21264
520	23086	21225
521	23144	21193
522	23190	21150
523	23241	21112
524	23286	21068
525	23331	21025
526	23375	20979
527	23413	20930
528	23456	20884
529	23500	20840
530	23551	20802
531	23600	20760
532	23640	20713
533	23676	20661
534	23719	20616
535	23765	20572
536	23825	20542
537	23884	20510
538	23931	20468
539	23971	20420
540	24022	20381
541	24085	20352
542	24137	20314
543	24194	20280
544	24236	20233
545	24279	20188
546	24322	20142
547	24362	20094
548	24400	20045
549	24443	19999
550	24492	19958
551	24541	19917
552	24593	19879
553	24648	19843
554	24694	19799
555	24739	19756
556	24781	19709
557	24825	19664
558	24869	19620
559	24909	19571
560	24950	19524
561	24994	19479
562	25031	19429
563	25080	19388
564	25128	19346
565	25173	19302
566	25213	19254
567	25256	19209
568	25303	19166
569	25348	19122
570	25390	19076
571	25432	19030
572	25472	18982
573	25513	18934
574	25553	18887
575	25593	18839
576	25632	18791
577	25669	18741
578	25713	18696
579	25764	18657
580	25810	18613
581	25853	18568
582	25895	18521
583	25934	18473
584	25974	18426
585	26017	18380
586	26062	18337
587	26115	18298
588	26168	18260
589	26220	18221
590	26277	18185
591	26325	18143
592	26374	18101
593	26418	18056
594	26458	18009
595	26493	17958
596	26528	17907
597	26577	17866
598	26624	17823
599	26668	17779
600	26723	17741
601	26776	17702
602	26817	17655
603	26859	17609
604	26897	17561
605	26941	17516
606	26980	17468
607	27040	17433
608	27090	17393
609	27138	17350
610	27184	17307
611	27235	17266
612	27274	17219
613	27327	17179
614	27366	17131
615	27408	17085
616	27451	17040
617	27496	16996
618	27537	16949
619	27577	16902
620	27618	16855
621	27658	16808
622	27702	16763
623	27738	16714
624	27771	16662
625	27811	16615
626	27863	16575
627	27902	16528
628	27942	16480
629	27977	16431
630	28026	16389
631	28092	16357
632	28166	16330
633	28216	16289
634	28266	16247
635	28308	16201
636	28359	16161
637	28416	16123
638	28465	16081
639	28505	16034
640	28550	15989
641	28599	15947
642	28645	15904
643	28690	15859
644	28741	15818
645	28785	15774
646	28827	15728
647	28868	15681
648	28913	15637
649	28972	15600
650	29020	15557
651	29068	15514
652	29113	15470
653	29159	15427
654	29204	15382
655	29241	15333
656	29273	15283
657	29306	15232
658	29341	15182
659	29383	15137
660	29439	15098
661	29499	15061
662	29542	15016
663	29583	14970
664	29629	14926
665	29667	14878
666	29700	14827
667	29732	14777
668	29766	14727
669	29800	14677
670	29834	14628
671	29868	14578
672	29903	14529
673	29956	14489
674	30002	14445
675	30043	14399
676	30080	14351
677	30117	14303
678	30159	14257
679	30207	14215
680	30266	14177
681	30327	14140
682	30381	14101
683	30424	14055
684	30481	14017
685	30542	13980
686	30598	13940
687	30644	13896
688	30693	13854
689	30735	13808
690	30790	13769
691	30835	13724
692	30875	13677
693	30912	13629
694	30958	13586
695	31002	13541
696	31042	13494
697	31092	13452
698	31151	13414
699	31208	13375
700	31259	13333
701	31317	13294
702	31361	13249
703	31406	13205
704	31461	13164
705	31512	13122
706	31564	13081
707	31621	13041
708	31667	12997
709	31708	12951
710	31746	12904
711	31791	12859
712	31833	12813
713	31872	12766
714	31909	12719
715	31950	12673
716	31996	12628
717	32040	12583
718	32094	12543
719	32138	12498
720	32178	12451
721	32218	12405
722	32270	12363
723	32338	12327
724	32403	12291
725	32453	12248
726	32502	12205
727	32554	12163
728	32612	12123
729	32658	12079
730	32714	12038
731	32768	11997
732	32824	11956
733	32869	11911
734	32909	11865
735	32948	11818
736	32990	11772
737	33041	11730
738	33080	11683
739	33130	11640
740	33186	11599
741	33239	11557
742	33281	11511
743	33319	11464
744	33358	11417
745	33402	11373
746	33445	11327
747	33485	11281
748	33524	11234
749	33573	11191
750	33629	11150
751	33670	11104
752	33718	11060
753	33768	11017
754	33816	10973
755	33866	10930
756	33912	10885
757	33961	10842
758	34007	10798
759	34057	10754
760	34096	10708
761	34136	10662
762	34184	10618
763	34238	10576
764	34280	10530
765	34321	10484
766	34362	10438
767	34402	10392
768	34443	10346
769	34485	10300
770	34526	10254
771	34566	10208
772	34613	10164
773	34660	10120
774	34703	10075
775	34742	10028
776	34785	9983
777	34823	9936
778	34873	9893
779	34921	9849
780	34965	9804
781	35004	9758
782	35041	9711
783	35079	9664
784	35119	9618
785	35159	9572
786	35215	9531
787	35272	9489
788	35334	9449
789	35382	9405
790	35431	9361
791	35487	9320
792	35530	9274
793	35570	9228
794	35609	9182
795	35647	9135
796	35686	9089
797	35731	9044
798	35773	8999
799	35825	8956
800	35871	8912
801	35918	8867
802	35976	8826
803	36033	8784
804	36089	8742
805	36147	8700
806	36189	8654
807	36237	8610
808	36294	8568
809	36343	8524
810	36383	8479
811	36424	8433
812	36461	8386
813	36502	8340
814	36549	8296
815	36589	8250
816	36628	8204
817	36675	8159
818	36728	8117
819	36783	8074
820	36844	8033
821	36898	7990
822	36949	7946
823	37006	7904
824	37078	7865
825	37128	7821
826	37184	7778
827	37225	7732
828	37277	7689
829	37323	7644
830	37376	7601
831	37427	7557
832	37484	7514
833	37548	7473
834	37599	7429
835	37640	7383
836	37692	7340
837	37743	7296
838	37786	7250
