iter	MAE
399	24923207.22
400	24909966.06
401	24904151.77
402	24894505.17
403	24889636.7
404	24886619.87
405	24881963.99
406	24877514.19
407	24874507.31
408	24863552.67
409	24859478.66
410	24854773.31
411	24848138.78
412	24838299.16
413	24833973.39
414	24821361.4
415	24817745.71
416	24812312.16
417	24808806
418	24803995.97
419	24796328.64
420	24779643.83
421	24776664.47
422	24768635.7
423	24765057.49
424	24760141.47
425	24751236.79
426	24747840.66
427	24742551.05
428	24736826.91
429	24733598.57
430	24728463.83
431	24725134.67
432	24721715.7
433	24717795.48
434	24708802.31
435	24698844.51
436	24689528.18
437	24684850.36
438	24679233.28
439	24674016.73
440	24671077.63
441	24668396.06
442	24661921.11
443	24658459.21
444	24655845.94
445	24651390.3
446	24647680.98
447	24645181.74
448	24634245.45
449	24629704.3
450	24625563.03
451	24620865.68
452	24614514.78
453	24611320.87
454	24606586.06
455	24604682.95
456	24600752.76
457	24591971.51
458	24581336.65
459	24575461.77
460	24573163.32
461	24572356.8
462	24568992.49
463	24559527.63
464	24552939.52
465	24543820.59
466	24537769.38
467	24533105.18
468	24524499.15
469	24521235
470	24518341.64
471	24513075.13
472	24505057.51
473	24497590.65
474	24488824.15
475	24485386.96
476	24479798.37
477	24471726.2
478	24464913.58
479	24459891.45
480	24457176.93
481	24450422.66
482	24441962.16
483	24440227.14
484	24436978.11
485	24433914.38
486	24428785.96
487	24417911.57
488	24415069.91
489	24404630.37
490	24400878.82
491	24394936.64
492	24390356.06
493	24382139.58
494	24380762.8
495	24380285.04
496	24373756.74
497	24367313.56
498	24359165.91
499	24356665.85
500	24349977.95
501	24348942.4
502	24343580.4
503	24340718.87
504	24336385.67
505	24328084.97
506	24324621.47
507	24315263.28
508	24311368.42
509	24304614.1
510	24302913.72
511	24295886.84
512	24293486.25
513	24289326.43
514	24280512.14
515	24270017.79
516	24266241.94
517	24262445.14
518	24258483.33
519	24253900.56
520	24250783.3
521	24246646.57
522	24239624.07
523	24236951.94
524	24229497.4
525	24226702.19
526	24222932.96
527	24215987.23
528	24215376.79
529	24214032.72
530	24206829.48
531	24203121.15
532	24193295.29
533	24190104.01
534	24186946.03
535	24184798.01
536	24176323.29
537	24173293.11
538	24170888.46
539	24168382.76
540	24164288.49
541	24157234.95
542	24152753.86
543	24147356.01
544	24145217.75
545	24137383.27
546	24135734.86
547	24129302.94
548	24120112.34
549	24118549.29
550	24116226.22
551	24112493.39
552	24111150.09
553	24105824.02
554	24095325.36
555	24088478.61
556	24083372.69
557	24077345.99
558	24070746.35
559	24065460.63
560	24065101.44
561	24062830.54
562	24059612.87
563	24053403.39
564	24050966.18
565	24047630.89
566	24041086.1
567	24038109.76
568	24034011.47
569	24023288.23
570	24020213.16
571	24017796.2
572	24011858.62
573	24010741.73
574	24008941.44
575	24006254.43
576	24000826.98
577	23992696.02
578	23989186.55
579	23984934.56
580	23978251.73
581	23970893.75
582	23965039.6
583	23962468.02
584	23959958.82
585	23954387.3
586	23951405.98
587	23943264.15
588	23938133.45
589	23930532.85
590	23925802.32
591	23919029.02
592	23913416.51
593	23910865.42
594	23904431.88
595	23898443.54
596	23895046.59
597	23890289.67
598	23887772.32
599	23880872.81
600	23876325.85
601	23870722.15
602	23865341.2
603	23860263.8
604	23858273.69
605	23852618.86
606	23848222.26
607	23847328.64
608	23843403.6
609	23836886.27
610	23828207.07
611	23825768.56
612	23822731.83
613	23812605.68
614	23810819.61
615	23804299.12
616	23800679.91
617	23798568.33
618	23792033.61
619	23786586.25
620	23782441.28
621	23781485.42
622	23778325.14
623	23773445.58
624	23771185.04
625	23763772.41
626	23755628.75
627	23754747.05
628	23749931.64
629	23745078.71
630	23744053.88
631	23736611.89
632	23733899.6
633	23730935.18
634	23726632.21
635	23722937.81
636	23721776.61
637	23719147.13
638	23710329.12
639	23707220.37
640	23702869.28
641	23699594.06
642	23696187.62
643	23690008.53
644	23686165.45
645	23682897.67
646	23679897.6
647	23676457.18
648	23670364.94
649	23665544.25
650	23660753.43
651	23656712.99
652	23653141.84
653	23646949.17
654	23646079.55
655	23641713.33
656	23639853.92
