iter	Passed	Remaining
402	11385	16865
403	11412	16836
404	11440	16808
405	11466	16775
406	11493	16745
407	11521	16717
408	11549	16688
409	11578	16661
410	11606	16633
411	11634	16604
412	11660	16573
413	11687	16543
414	11715	16514
415	11743	16486
416	11769	16454
417	11798	16427
418	11826	16399
419	11853	16369
420	11880	16339
421	11911	16314
422	11940	16287
423	11968	16259
424	11996	16231
425	12025	16203
426	12051	16171
427	12079	16143
428	12109	16117
429	12139	16091
430	12166	16062
431	12194	16033
432	12225	16008
433	12254	15981
434	12281	15951
435	12310	15925
436	12339	15897
437	12368	15869
438	12394	15838
439	12421	15809
440	12449	15780
441	12477	15751
442	12504	15722
443	12533	15694
444	12560	15664
445	12589	15638
446	12617	15609
447	12646	15582
448	12674	15554
449	12702	15525
450	12731	15497
451	12759	15469
452	12783	15436
453	12812	15408
454	12840	15380
455	12868	15351
456	12896	15323
457	12924	15295
458	12953	15267
459	12982	15240
460	13011	15212
461	13036	15181
462	13066	15155
463	13093	15125
464	13122	15098
465	13151	15070
466	13181	15044
467	13210	15016
468	13237	14987
469	13264	14957
470	13289	14925
471	13316	14896
472	13348	14872
473	13376	14844
474	13404	14815
475	13431	14786
476	13460	14758
477	13488	14730
478	13515	14700
479	13542	14671
480	13569	14641
481	13596	14612
482	13624	14583
483	13648	14551
484	13676	14522
485	13703	14492
486	13733	14466
487	13761	14438
488	13791	14412
489	13818	14382
490	13849	14356
491	13877	14328
492	13905	14300
493	13935	14274
494	13963	14245
495	13988	14214
496	14016	14185
497	14043	14156
498	14069	14125
499	14094	14094
500	14120	14063
501	14145	14033
502	14174	14005
503	14204	13978
504	14233	13951
505	14261	13923
506	14290	13896
507	14320	13869
508	14350	13842
509	14377	13813
510	14403	13783
511	14430	13754
512	14456	13724
513	14484	13695
514	14514	13668
515	14542	13640
516	14571	13613
517	14603	13588
518	14646	13573
519	14673	13544
520	14701	13516
521	14732	13490
522	14761	13463
523	14791	13436
524	14821	13409
525	14850	13382
526	14879	13354
527	14907	13326
528	14935	13298
529	14962	13268
530	14992	13242
531	15021	13214
532	15049	13185
533	15076	13156
534	15102	13126
535	15131	13099
536	15159	13070
537	15189	13043
538	15217	13015
539	15247	12988
540	15275	12960
541	15305	12933
542	15334	12905
543	15362	12877
544	15391	12850
545	15421	12822
546	15450	12795
547	15479	12768
548	15508	12739
549	15540	12714
550	15567	12685
551	15597	12658
552	15625	12630
553	15653	12601
554	15682	12574
555	15711	12546
556	15739	12517
557	15767	12490
558	15794	12460
559	15826	12434
560	15854	12406
561	15884	12379
562	15914	12352
563	15942	12323
564	15970	12296
565	15999	12267
566	16027	12239
567	16056	12212
568	16086	12185
569	16117	12158
570	16145	12130
571	16174	12102
572	16202	12074
573	16233	12048
574	16261	12019
575	16290	11991
576	16318	11962
577	16344	11933
578	16372	11904
579	16402	11877
580	16430	11849
581	16460	11822
582	16488	11793
583	16517	11765
584	16545	11737
585	16572	11708
586	16599	11679
587	16628	11651
588	16656	11622
589	16683	11593
590	16711	11564
591	16739	11536
592	16770	11510
593	16800	11483
594	16829	11455
595	16856	11426
596	16884	11397
597	16911	11368
598	16939	11339
599	16969	11312
600	16997	11284
601	17026	11256
602	17055	11228
603	17083	11200
604	17113	11173
605	17140	11144
606	17166	11114
607	17194	11086
608	17224	11058
609	17254	11031
610	17283	11003
611	17311	10975
612	17339	10946
613	17368	10918
614	17397	10891
615	17423	10861
616	17452	10833
617	17481	10805
618	17510	10777
619	17538	10749
620	17568	10722
621	17596	10693
622	17622	10664
623	17652	10636
624	17680	10608
625	17709	10580
626	17736	10551
627	17765	10523
628	17793	10495
629	17821	10466
630	17851	10439
631	17880	10411
632	17908	10383
633	17935	10353
634	17962	10324
635	17990	10296
636	18018	10267
637	18049	10241
638	18078	10213
639	18107	10185
640	18135	10157
641	18165	10129
642	18193	10101
643	18220	10072
644	18248	10043
645	18277	10015
646	18304	9987
647	18331	9957
648	18355	9927
649	18379	9896
650	18404	9866
651	18429	9836
652	18458	9808
653	18487	9780
654	18515	9752
655	18546	9725
656	18574	9697
657	18603	9669
658	18631	9640
659	18662	9613
660	18692	9586
661	18718	9557
662	18745	9528
663	18773	9499
664	18799	9470
665	18826	9441
666	18854	9413
667	18883	9385
668	18910	9356
669	18938	9327
670	18967	9300
671	18996	9272
672	19025	9244
673	19054	9216
674	19082	9187
675	19110	9159
676	19137	9130
677	19166	9102
678	19195	9074
679	19225	9047
680	19253	9019
681	19281	8990
682	19311	8963
683	19344	8936
684	19372	8908
685	19400	8880
686	19429	8852
687	19457	8823
688	19484	8795
689	19510	8765
690	19540	8738
691	19568	8709
692	19595	8680
693	19622	8651
694	19650	8623
695	19678	8595
696	19704	8566
697	19734	8538
698	19763	8510
699	19793	8483
700	19821	8454
701	19849	8426
702	19876	8397
703	19904	8369
704	19933	8340
705	19959	8311
706	19988	8283
707	20015	8254
708	20042	8226
709	20069	8197
710	20100	8170
711	20130	8142
712	20158	8114
713	20188	8086
714	20217	8058
715	20245	8030
716	20274	8002
717	20302	7973
718	20328	7944
719	20356	7916
720	20387	7889
721	20416	7861
722	20444	7832
723	20472	7804
724	20502	7776
725	20533	7749
726	20562	7721
727	20590	7693
728	20617	7664
729	20646	7636
730	20676	7608
731	20704	7580
732	20733	7552
733	20763	7524
734	20796	7497
735	20824	7469
736	20854	7441
737	20881	7413
738	20909	7384
739	20936	7356
740	20963	7327
741	20992	7299
742	21020	7271
743	21047	7242
744	21076	7214
745	21106	7186
746	21138	7159
747	21165	7130
748	21194	7102
749	21221	7073
750	21249	7045
751	21281	7018
752	21313	6991
753	21342	6963
754	21370	6934
755	21396	6905
756	21424	6877
757	21453	6849
758	21483	6821
759	21511	6793
760	21540	6765
761	21569	6737
762	21598	6708
763	21629	6681
764	21657	6652
765	21685	6624
766	21715	6596
767	21743	6568
768	21773	6540
769	21801	6512
770	21830	6484
771	21860	6456
772	21888	6427
773	21917	6399
774	21945	6371
775	21973	6343
776	22002	6314
777	22029	6286
778	22057	6257
779	22087	6229
780	22116	6201
781	22143	6173
782	22172	6144
783	22201	6116
784	22230	6088
785	22259	6060
786	22285	6031
787	22314	6003
788	22342	5974
789	22371	5946
790	22400	5918
791	22430	5890
792	22458	5862
793	22486	5834
794	22515	5805
795	22542	5777
796	22572	5749
797	22601	5721
798	22630	5693
799	22657	5664
800	22685	5635
801	22714	5607
802	22740	5578
803	22773	5551
804	22801	5523
805	22831	5495
806	22859	5467
807	22888	5438
808	22915	5410
809	22943	5381
810	22971	5353
811	22999	5325
812	23029	5297
813	23057	5268
814	23084	5240
815	23112	5211
816	23141	5183
817	23170	5155
818	23203	5127
819	23232	5099
820	23262	5071
821	23290	5043
822	23320	5015
823	23348	4987
824	23376	4958
825	23405	4930
826	23435	4902
827	23462	4873
828	23489	4845
829	23519	4817
830	23547	4788
831	23576	4760
832	23605	4732
833	23633	4703
834	23663	4675
835	23691	4647
836	23720	4619
837	23749	4591
838	23778	4563
839	23807	4534
840	23836	4506
841	23865	4478
842	23894	4450
843	23922	4421
844	23948	4392
845	23977	4364
846	24006	4336
847	24032	4307
848	24059	4279
849	24087	4250
850	24113	4221
